iteration number,ln likelihood score,perplexity score
0,-2573411.406851525,669.6766802740954
1,-2565913.882527781,657.1010156063334
2,-2558655.7238337165,645.1518521508091
3,-2551371.9950122694,633.3790288815959
4,-2544533.483203946,622.5214271305988
5,-2539713.282807443,614.9803486945023
6,-2535771.320490272,608.8812020844837
7,-2532566.6474001063,603.9674203061115
8,-2530564.7695131116,600.9180488494535
9,-2529110.321761412,598.7122141854823
10,-2527916.138714845,596.907155099963
11,-2526722.318254654,595.1080836802839
12,-2525322.156275415,593.0049663514304
13,-2524355.2871928005,591.5570177142595
14,-2523593.612916705,590.4188515427704
15,-2522662.5948610413,589.0306096427094
16,-2521093.5980132027,586.6984586441451
17,-2520167.617973444,585.3264205597168
18,-2519474.1614671345,584.3010175858017
19,-2518919.661586694,583.4823801680241
20,-2518530.795917541,582.9089615834317
21,-2518384.1635416383,582.6928848517565
22,-2518067.614670178,582.2266930848964
23,-2517970.482933015,582.083718829357
24,-2517882.0791057977,581.9536222474111
25,-2517881.976611905,581.9534714325243
26,-2517862.2932205554,581.9245089831356
27,-2517831.4766654503,581.8791679175841
28,-2517829.415430215,581.8761353035554
29,-2517804.0991078676,581.8388896870595
30,-2517790.342780536,581.8186522459133
31,-2517790.3509078245,581.8186642020598
32,-2517790.3531001755,581.8186674272522
